League,Home_Team,Away_Team,Home_FH,Away_FH,Home_Result,Away_Result,Odds_Home,Odds_Draw,Odds_Away,Alt-Ust
French League,St Etienne , Lens,1,0,1,2,3.9,3.4,1.77,UST
African Nations Cup,Nigeria , Sudan,2,0,3,1,1.18,5.2,15.0,UST
English Premier,Newcastle , Watford,0,0,1,1,1.72,3.4,4.0,ALT
English Premier,Wolverhampton , Southampton,1,0,3,1,2.25,2.9,3.0,UST
English Premier,Norwich , Everton,2,0,2,1,3.3,3.1,1.97,UST
English League One (Account Only),Accrington , Sunderland,0,0,1,1,3.5,3.4,1.85,ALT
English League One (Account Only),AFC Wimbledon , Morecambe,0,0,0,0,2.0,3.2,3.2,ALT
English League One (Account Only),Lincoln City , Cambridge,0,0,0,1,1.72,3.4,4.0,ALT
English League One (Account Only),Doncaster , Wigan,0,1,1,2,7.0,4.4,1.35,UST
English League One (Account Only),Crewe Alexandra , Shrewsbury,0,0,0,0,3.3,3.2,1.97,ALT
English League One (Account Only),Fleetwood , Rotherham,0,0,1,0,5.0,3.8,1.53,ALT
English League One (Account Only),Sheffield Wed , Plymouth,2,0,4,2,2.0,3.3,3.1,UST
English League One (Account Only),Wycombe , Oxford United,1,0,2,0,2.35,3.3,2.55,UST
English League One (Account Only),Portsmouth , MK Dons,0,0,0,0,2.05,3.2,3.1,ALT
English League One (Account Only),Bolton , Ipswich,0,0,2,0,3.05,3.2,2.05,ALT
English League One (Account Only),Cheltenham , Charlton,1,0,1,1,2.8,3.0,2.3,UST
English League One (Account Only),Gillingham , Burton Albion,1,0,1,3,3.1,3.1,2.1,UST
English League Champ,Derby , Sheffield Utd,0,0,2,0,3.4,2.95,2.05,ALT
English League Champ,QPR , West Bromwich,0,0,1,0,2.9,3.2,2.15,ALT
English League Champ,Huddersfield , Swansea,1,0,1,1,2.4,3.0,2.7,UST
English League Champ,Middlesbrough , Reading,0,0,2,1,1.25,5.2,9.0,UST
English League Champ,Millwall , Nottingham,0,0,0,1,2.4,2.75,2.9,ALT
English League Champ,Peterborough , Coventry,1,2,1,4,2.65,3.1,2.35,UST
English League Champ,Fulham , Bristol City,5,2,6,2,1.13,7.0,11.0,UST
English League Champ,Preston , Birmingham,1,0,1,1,1.87,3.05,3.8,UST
Spanish Cup,Mallorca , Espanyol,1,0,2,1,2.55,3.05,2.5,UST
German League,Stuttgart , RB Leipzig,0,1,0,2,4.8,3.7,1.55,UST
German League,Union Berlin , Hoffenheim,1,1,2,1,2.7,3.1,2.3,UST
German League,Wolfsburg , Hertha Berlin,0,0,0,0,1.87,3.1,3.7,ALT
German League,Mainz , Bochum,0,0,1,0,1.58,3.6,4.8,ALT
German League,Cologne , Bayern Munich,0,2,0,4,6.0,5.0,1.35,UST
Italian League,Sampdoria , Torino,1,1,1,2,3.2,3.2,2.0,UST
English Premier,Manchester City , Chelsea,0,0,1,0,1.65,3.9,3.8,ALT
English League Champ,Luton , Bournemouth,2,0,3,2,3.1,3.2,2.05,UST
English League Champ,Cardiff , Blackburn,0,1,0,1,3.4,3.3,1.92,ALT
A League,Adelaide , Melbourne City,0,1,2,2,3.6,3.6,1.77,UST
A League,Sydney FC , Brisbane Roar,1,1,1,1,1.58,3.7,4.7,UST
Mexican League,Necaxa , Monterrey,0,3,0,4,3.3,3.05,2.05,UST
Mexican League,Queretaro , UNAM Mexico,1,2,1,3,2.75,2.9,2.4,UST
English Premier,Brighton , Crystal Palace,0,0,1,1,1.97,3.1,3.5,ALT
French League,Nice , Nantes,1,1,2,1,1.67,3.5,4.1,UST
German League,Dortmund , Freiburg,3,0,5,1,1.4,4.5,5.8,UST
Dutch League,Zwolle , Willem II,1,0,2,0,2.3,3.05,2.75,UST
African Nations Cup,Gabon , Ghana,0,1,1,1,6.0,3.2,1.58,UST
African Nations Cup,Malawi , Zimbabwe,1,1,2,1,3.3,2.75,2.2,UST
African Nations Cup,Morocco , Comoros,1,0,2,0,1.23,4.7,11.0,UST
Indian S League,FC Goa , NorthEast Utd,1,1,1,1,1.7,3.7,3.8,UST
African Nations Cup,Senegal , Guinea,0,0,0,0,1.72,3.2,4.4,ALT
